TF	Gene	Input
ATF1	AP5Z1	1
ATF1	FBXL18	1
ATF1	FSCN1	1
ATF1	PMS2	1
ATF1	AIMP2	1
ATF1	FAM220A	1
ATF1	ZDHHC4	1
ATF1	RPA3	1
ATF1	UMAD1	1
ATF1	ETV1	1
ATF1	BZW2	1
ATF1	AC005083.1	1
ATF1	NUPL2	1
ATF1	MALSU1	1
ATF1	IGF2BP3	1
ATF1	TRA2A	1
ATF1	CYCS	1
ATF1	NFE2L3	1
ATF1	HNRNPA2B1	1
ATF1	CBX3	1
ATF1	HIBADH	1
ATF1	TAX1BP1	1
ATF1	AC004549.6	1
ATF1	CREB5	1
ATF1	MTURN	1
ATF1	HERPUD2	1
ATF1	RP11-379H18.1	1
ATF1	STARD3NL	1
ATF1	RALA	1
ATF1	LINC00265	1
ATF1	AC005189.6	1
ATF1	CAMK2B	1
ATF1	OGDH	1
ATF1	MIR4657	1
ATF1	RP4-673M15.1	1
ATF1	PURB	1
ATF1	RP4-647J21.1	1
ATF1	MYO1G	1
ATF1	CCM2	1
ATF1	TBRG4	1
ATF1	SEPT7P2	1
ATF1	LANCL2	1
ATF1	GBAS	1
ATF1	MRPS17	1
ATF1	CCT6A	1
ATF1	SNORA15	1
ATF1	SUMF2	1
ATF1	PHKG1	1
ATF1	CHCHD2	1
ATF1	ZNF138	1
ATF1	RP11-479O9.2	1
ATF1	ASL	1
ATF1	GS1-124K5.4	1
ATF1	RP4-756H11.3	1
ATF1	RABGEF1	1
ATF1	RP11-792A8.4	1
ATF1	GTF2IRD1P1	1
ATF1	SBDS	1
ATF1	TYW1	1
ATF1	PMS2P4	1
ATF1	STAG3L4	1
ATF1	POM121	1
ATF1	RP11-313P13.5	1
ATF1	CLDN4	1
ATF1	RFC2	1
ATF1	RHBDD2	1
ATF1	POR	1
ATF1	RPL7L1P3	1
ATF1	AC002064.7	1
ATF1	GTPBP10	1
ATF1	BET1	1
ATF1	LMTK2	1
ATF1	PDAP1	1
ATF1	BUD31	1
ATF1	ZNF394	1
ATF1	FAM200A	1
ATF1	ZNF655	1
ATF1	GS1-259H13.10	1
ATF1	ZKSCAN1	1
ATF1	ZSCAN21	1
ATF1	STAG3L5P	1
ATF1	STAG3L5P-PVRIG2P-PILRB	1
ATF1	ZCWPW1	1
ATF1	MEPCE	1
ATF1	RP11-758P17.2	1
ATF1	PPP1R35	1
ATF1	RP11-758P17.3	1
ATF1	LRCH4	1
ATF1	FBXO24	1
ATF1	MOSPD3	1
ATF1	TRIP6	1
ATF1	CLDN15	1
ATF1	FIS1	1
ATF1	PSMC2	1
ATF1	DNAJC2	1
ATF1	LINC01004	1
ATF1	KMT2E	1
ATF1	KMT2E-AS1	1
