Ensembl_ID	TCGA-L5-A4OG-01A	TCGA-JY-A6FB-01A	TCGA-V5-A7RE-01A	TCGA-L5-A43E-01A	TCGA-LN-A49M-01A	TCGA-KH-A6WC-01A	TCGA-2H-A9GJ-01A	TCGA-L5-A893-01A	TCGA-LN-A7HV-01A	TCGA-L5-A4OH-01A	TCGA-IC-A6RF-01A	TCGA-JY-A93F-01A	TCGA-LN-A4A9-01A	TCGA-L5-A4OJ-01A	TCGA-LN-A5U7-01A
ACKR2	1.050101788	0.107704793	0.11436326	0.321746972	0.425185678	0.818556658	0.126929574	0.500984572	0.06170085	0.20478011	1.632757085	1.287740566	0.278156923	0.311279406	0.137396218
ACKR3	4.4801519	4.162947444	1.503916848	1.971924143	4.306429671	2.811737435	3.194020604	3.878620053	5.170624238	2.854796227	1.431891327	1.708576597	5.327606662	2.250572653	6.514622857
ACKR4	1.493183548	2.663849638	2.143170388	1.989747379	0.897476385	0.34201957	1.788748898	2.984341306	0.186486588	0.676262996	0.634168013	0.33121492	1.341937371	2.54308381	0.399347863
ACLY	5.289322336	6.047174315	5.981783772	5.012839425	6.081066227	3.961515309	5.762777728	4.951178614	6.243662616	5.180302836	4.929124334	4.655151406	4.700559248	4.679322278	5.380151632
ACO1	3.369629351	3.117515454	2.447503731	3.259084619	1.86972846	1.93592359	4.015479719	3.138710687	2.147938644	4.926230777	1.9822661	1.875853726	2.337929532	4.438464089	1.78056183
ACO2	4.903349689	4.8853526	4.187787763	4.961805501	3.828637241	3.957378344	5.159625722	5.216588381	4.362244897	4.30096318	4.816681239	3.856575202	3.309944091	5.020669895	4.483939238
ACOT1	0.622677037	0.101361485	0.695378026	1.188569457	1.295606505	0.189863466	0.851164122	1.525913927	0.891001484	1.223113917	0.019438656	0.341723581	0.651378903	1.399054544	1.415017231
ACOT11	1.896668468	2.226095941	2.703544464	2.311966197	1.276230293	2.781432839	1.861328818	3.166443284	0.95518681	2.558616824	2.103372546	0.963915263	1.593151079	2.979995841	1.053443822
ACOT13	1.758057364	2.192970128	2.067436826	2.1259501	2.581003829	1.65728201	1.858893904	2.199724845	2.85614025	2.052989808	1.698171236	2.336449635	2.093587938	2.367377957	2.924821164
ACOT2	1.654354481	2.698575655	2.457960431	3.25205569	2.696708027	1.271669895	2.783484879	2.669201954	1.27681742	3.011025196	3.23481233	1.509670907	2.017818786	2.924851225	3.169455462
