Ensembl_ID	TCGA-BR-8680-01A	TCGA-IN-A7NR-01A	TCGA-CG-4440-01A	TCGA-R5-A7ZI-01A	TCGA-CG-4462-01A	TCGA-R5-A7O7-01A	TCGA-VQ-A8DZ-01A	TCGA-CG-5719-01A	TCGA-VQ-A8PQ-01A	TCGA-IN-7808-01A	TCGA-D7-A748-01A	TCGA-CG-4460-01A	TCGA-CG-4306-01A	TCGA-VQ-A8PJ-01A	TCGA-R5-A7ZF-01A	TCGA-CG-5724-01A	TCGA-CG-4465-01A	TCGA-BR-7957-01A	TCGA-BR-7196-01A	TCGA-CG-4301-01A	TCGA-CG-5722-01A	TCGA-BR-8289-01A	TCGA-CG-5716-01A	TCGA-CD-8529-01A
TUBGCP2	3.620004851	2.743140995	3.708886776	3.26212557	3.366164013	2.844507291	3.123108773	3.427089144	3.611421944	3.180938929	2.791999318	2.746717067	3.093190129	3.389869506	2.948857763	3.959139198	3.223419944	3.58983887	3.512407282	3.1569357	3.204806824	3.814117213	3.670526965	3.602280454
TUBGCP3	2.867205463	2.175159269	2.86844113	1.649918093	2.434844679	2.290967588	3.388173248	2.5280789	2.521845724	2.15453029	1.483313568	3.227841972	2.544478511	3.189884318	2.809827744	2.234288575	2.523239217	2.499916051	2.819412672	2.050345244	2.274947041	1.921453289	2.26304421	3.369293346
TUBGCP4	2.739506305	1.419718412	1.97999072	1.658821837	1.629366981	1.522658473	1.874327776	0.957770919	2.055648115	1.920032886	1.092499856	1.762508989	1.882779819	1.703785396	2.064107846	1.691509386	2.108515636	2.123523248	1.653500883	1.675933723	1.337152601	1.653696543	1.561937573	1.178884648
TUBGCP5	1.832292999	1.399863323	1.979533315	1.59232718	1.671156997	1.765706669	1.200139149	1.04182242	2.405608196	2.278419639	1.147848043	2.216679559	2.129711588	1.533329348	2.35864281	1.338649608	2.027730767	1.588438376	1.579061687	2.110424589	1.352469845	1.792312316	1.663092009	1.422251231
TUBGCP6	2.765010371	2.533729237	2.546480103	2.497073154	2.333889549	2.201299109	2.567810139	2.036186102	4.184559104	3.501309138	1.92443767	1.96340451	2.260271534	3.358745417	1.857636728	1.721815568	1.831193669	2.659409756	3.01520511	1.791523767	2.276329711	2.889447919	2.446648474	2.70330618
TUFM	6.649784261	5.7009162	7.013348038	6.165878467	5.81548695	6.016165841	6.455742209	6.268184649	5.418038599	5.601053313	5.343780201	6.518447957	6.331315324	6.080170599	6.599551323	7.713799127	6.329318013	6.591183056	6.139996074	5.664739741	6.804105254	6.553566323	6.675766189	6.162631471
TUFT1	3.553353363	3.221941592	2.796150868	1.659030127	1.957473857	2.169305533	2.896549238	2.434682565	2.268723839	2.940194615	1.71124098	3.359081012	2.708018127	3.409216272	1.628118972	4.010248963	2.727876569	2.792582276	2.663094493	3.252419396	2.687226792	2.844011115	2.722789785	3.027286503
TUG1	4.868824438	4.661668035	4.940041719	3.857746672	4.978750699	4.169998321	4.539096439	4.115261256	4.904319322	5.160643231	4.422587057	4.824500079	5.130131477	5.575673653	4.558528607	3.423410149	4.700117343	4.482753337	4.619572511	5.157752195	3.482929483	4.551524441	3.606343199	4.635003691
TULP3	3.444945814	3.101117333	3.633889234	3.174645964	3.81373012	2.951787175	2.533234032	3.354672591	3.492035229	3.375512717	3.003779508	4.376253857	3.851848166	2.684284851	3.628045705	3.786694352	3.163112158	3.592483561	3.369504408	3.055248121	3.586254125	2.849654917	2.850876479	3.293275164
TULP4	1.690180139	2.165541039	1.790821609	1.253538615	2.013328325	2.515869726	2.257060926	1.530873266	2.819380921	2.768725355	1.544372695	1.878272695	2.365404682	3.126429657	2.556970706	2.00239283	2.920962319	2.486011381	2.204872225	2.132038199	2.24252602	3.147214854	1.843600248	2.280421953
TUSC1	3.34211604	2.65701087	0.558413316	1.377809165	2.821499616	1.482009125	3.194010788	3.287225723	2.314989944	1.629645986	2.669725095	2.788268028	2.202525336	0.624636219	2.43849414	2.998501758	2.512937657	3.055888274	3.660544582	2.184880507	3.739484963	1.563739669	2.984888741	3.02134489
TUSC2	3.679295501	3.262481547	2.987473221	2.892968271	3.085150458	3.06912461	4.210560889	3.03293527	2.959169177	3.23629916	3.136107913	3.12511634	3.286262248	3.264034937	3.624546954	4.064509241	3.203306436	2.934961209	3.706817118	2.794350296	3.967611504	3.646448141	3.91173669	3.703494915
TUSC3	0.579170704	1.865914178	0.593957847	0.908583164	2.51109398	1.205948626	3.714130338	2.401034035	1.779763824	1.163810364	1.644146305	4.104309306	1.319037176	2.466096263	0.989253319	0.824727114	1.092882804	2.18467373	1.63898609	1.682933576	1.712912326	1.189090549	1.14757375	1.639596177
TUT1	2.118688327	1.099899054	1.482064448	1.680777531	1.261911413	1.343627942	1.904472403	1.849216324	1.820705927	2.119997349	1.117418905	1.458814946	1.202801399	1.887579941	1.863864069	1.721092845	0.97866845	1.390484801	1.756565005	1.075686156	1.853350959	1.549567866	1.669907562	1.610846203
TVP23A	0.194184579	0.382130033	0.210381735	0.281575256	0.478764499	0.460214486	0.238072205	0.229804184	0.909211926	1.110326231	0.268198693	0.322052061	0.402250944	0.178341658	0.363216186	0.191426221	0.179583073	0.283472933	0.602920252	0.413259611	0.648192686	0.310129098	0.23468092	0.770143161
TVP23B	2.504754731	1.959098735	2.115380149	1.995174788	2.56044495	2.142682453	1.517490568	1.802806124	2.500682243	2.210575798	2.173393776	3.099684388	3.484373941	2.708980723	2.197665811	1.76185186	2.920370353	2.317486287	2.801560004	2.606239281	2.641511892	1.924414297	2.594402	2.676627741
TVP23C	0.554518779	0.489667386	0.335618602	0.75161546	0.597316306	0.544024422	0.506078451	0.302684328	0.681427055	1.217911623	0.562117239	0.528716092	0.444604865	0.310307777	0.319423143	0.37771468	0.300816076	0.252651468	0.657091774	0.515736402	0.52115553	0.189298295	0.273123729	0.555622942
TWF1	5.689833079	4.637587258	4.618484258	4.948731354	4.123302967	4.466827278	4.009335845	3.911322608	4.24655912	4.22139383	4.535968469	5.093712236	5.143045087	5.09374455	5.494383074	4.197818895	5.032196135	5.122879882	4.672389798	4.958514714	4.737364413	5.083106367	4.511245056	4.726560788
TWF2	4.296058417	3.835005398	4.215120343	3.193559045	4.357981606	3.327601123	4.281510373	4.535632266	4.04827248	3.739677077	4.244317289	3.541820642	3.795972057	3.559516626	2.948892152	4.852274175	3.859676163	3.681143318	3.763809252	3.539871956	4.281944915	4.109704045	4.282485532	4.68458897
TWIST1	1.529859288	0.744361865	0.643123544	1.083855608	2.739728282	1.940891332	1.078177164	3.1408375	1.187441256	0.671051812	2.444842756	1.391889716	2.201793697	0.864198932	1.29089203	2.631369382	0.819195282	1.44417958	1.819887615	1.416728796	1.449894061	0.798347314	0.555609137	1.484478367
TWIST2	0.784273298	0.811741177	0.387581269	0.3619947	3.467993505	1.407165726	0.839254559	2.355239152	1.82506343	1.844452169	2.328133761	0.554710364	1.575321807	0.335547535	0.678192756	1.893432704	0.938830485	3.247529473	2.88172459	0.73569605	0.857176225	1.531911882	0.832351288	1.591409981
TWSG1	4.426366943	3.44826105	2.736537497	3.361282174	4.868771037	3.181081106	2.739985396	3.893903448	3.682308601	2.733798382	3.895780539	3.94997825	4.221879639	3.565305354	3.130957269	4.247635835	3.887387169	4.431563979	4.463030869	4.146567218	3.078470247	3.673716906	2.983907693	4.233910425
